Produt-ID;Gender;Styled with;Styled with;Styled with;Styled with;Styled with;Styled with;Styled with;Styled with;Styled with
A20870-AAQ;Man;A10487-BUT;C80236_ADN;;;;;;;
AK0986-969;Man;A60631-AX2;AD0891-290;C50484-DTZ;;;;;;
CL0422-228;Woman;C00106-228;C50484-DTZ;AD0880-ADN;;;;;;
AL0504-183;Woman;C00106-228;C50484-DTZ;AD0880-ADN;A20862-CQ0;;;;;
AC0752-100;Unisex ;A10496-900;AK0949-900;AD0880-ADN;;;;;;
CE0064-AQ8;Unisex;AD0876-295;AC0742-415;A10496-900;;;;;;
CL0311-183;Man;AF0540-990;AD0876-295;C40429-900;;;;;;
AC0663-DOQ;Man;AF0557-DGY;C40414-BUT;AD0876-295;C10235-DBG;;;;;
A20888-AHD;Man;A40018-700;C10235-900;AD0872-295;;;;;;
C10235-ADN;Woman;A20888-AHD;A40018-700;AD0872-295;;;;;;
CL0391-BCG;Woman;CK0127-DTB;AD0852-AD5;;;;;;;
A00429-228;Woman;AH0322-900;AC0741-900;A10496-900;AD0852-AAB;;;;;
CK0126-ADM;Woman;CL0401-DC6;AD0852-AD5;A10496-900;;;;;;
C60098-DSQ;Woman;C00080-863;A10496-900;AD0880-ADN;C30060-BWF;;;;;
C90200-900;Woman;A60597-AZT;CK0126-ADM;AD0880-ADN;C30060-BWF;;;;;
AK0953-AI8;Woman;AC0737-ANS;AC0774-902;AD0880-ADN;C50481-DTY;;;;;
A10465-DVB;Woman;AC0737-ANS;AC0774-902;AD0880-ADN;AK0953-AI8;C50481-DTY;;;;
AD0853-ADM;Woman;AC0737-ANS;AC0774-902;A10465-DVB;AK0953-AI8;C50481-DTY;;;;
CA0388-838;Woman;AC0737-ANS;AC0774-902;AK0953-AI8;AD0880-ADN;C10235-ADN;C50481-DTY;;;
A90607-CP9;Woman;A00510-CN2;C90199-863;AD0880-ADN;C10235-ADN;;;;;
CI0185-AQ8;Woman;AL0473-990;C40414-BUT;A10460-AAE;A00510-CN2;AD0880-ADN;;;;
A90639-CN2;Woman;A00510-CN2;AD0779-AEG;;;;;;;